"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"umhlanga campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;php;sql;typescript","mongodb;postgresql","amazon web services (aws)","deno;react;symfony","healthcare","chatgpt","adrenaline;aws codewhisperer;codeium;mintlify;rubber duck.ai;synk code;tabnine","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c;elixir;html/css;java;matlab;objective-c;php;python;ruby;sql","mariadb;mysql;postgresql;redis;sqlite","amazon web services (aws);cloudflare;heroku;ovh","jquery;laravel;ruby on rails","retail and consumer services","bing ai;chatgpt","aws codewhisperer;tabnine","independent contractor, freelancer, or self-employed"
"midrand campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","data or business analyst","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;python;r;sql","bigquery;microsoft sql server;mongodb;mysql;postgresql","amazon web services (aws);firebase;google cloud;microsoft azure","express;node.js;svelte;vue.js","healthcare","","aws codewhisperer;github copilot","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, desktop or enterprise applications","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);html/css;javascript;php;visual basic (.net)","microsoft access;microsoft sql server;mysql;oracle","microsoft azure","jquery;symfony","higher education","","github copilot;mintlify;replit ghostwriter","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c;c++;html/css;java;javascript;perl;php;python;r;solidity;sql;typescript","cassandra;cosmos db;firebase realtime database;mongodb;mysql;postgresql;sqlite","digital ocean;firebase;google cloud;heroku;microsoft azure;netlify","angular;django;express;next.js;node.js;react;spring boot;vue.js;wordpress","retail and consumer services","chatgpt","github copilot;synk code","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;javascript;ruby;sql","mariadb","heroku","jquery;ruby on rails","legal services","","adrenaline;aws codewhisperer;github copilot;replit ghostwriter","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);go;html/css;java;python;ruby;sql","dynamodb;elasticsearch;mysql;postgresql;redis","amazon web services (aws);heroku","node.js;react;ruby on rails","retail and consumer services","","aws codewhisperer;github copilot;replit ghostwriter;rubber duck.ai","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);html/css;java;typescript","h2;oracle;postgresql","cloudflare;microsoft azure;openshift","angular;next.js;qwik;react;remix;spring boot","financial services","","adrenaline","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c;html/css;java;javascript;python;rust;typescript","cockroachdb;microsoft sql server;mongodb;postgresql","","express;flask;next.js;node.js;react","other","","aws codewhisperer;codeium;github copilot;mintlify","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, back-end","some college/university study without earning a degree","bash/shell (all shells);php;python;sql","mysql","amazon web services (aws)","","higher education","","synk code;tabnine;whispr ai","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","javascript;typescript","mongodb;postgresql","amazon web services (aws);firebase;google cloud","angular;jquery;node.js;wordpress","wholesale","bing ai;chatgpt","aws codewhisperer;github copilot;synk code;tabnine","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","data science","i am learning to code","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c;c++;java;javascript;kotlin;python;rust;typescript","mysql;sqlite","","vue.js","retail and consumer services","chatgpt;phind","aws codewhisperer;codeium;github copilot;mintlify","student, full-time"
"tyger valley campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","assembly;c;c#;c++;html/css;java;javascript;kotlin;php;sql;typescript;visual basic (.net)","cloud firestore;firebase realtime database;mariadb;microsoft access;microsoft sql server;mongodb;mysql;oracle;postgresql;sqlite","microsoft azure","asp.net;asp.net core;blazor;jquery;react;wordpress","insurance","","synk code;tabnine","employed, full-time;independent contractor, freelancer, or self-employed;employed, part-time"
"nelson mandela bay campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","","master’s degree (m.a., m.s., m.eng., mba, etc.)","c++;html/css;matlab;python;r;sql","postgresql","google cloud;vmware","","manufacturing, transportation, or supply chain","chatgpt;perplexity ai;wolframalpha","aws codewhisperer;synk code","student, full-time"
"pretoria campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","devops specialist","some college/university study without earning a degree","bash/shell (all shells);go;python","","amazon web services (aws);cloudflare","","insurance","chatgpt","github copilot;replit ghostwriter;whispr ai","independent contractor, freelancer, or self-employed"
"tyger valley campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;python;solidity;sql;typescript","cloud firestore;firebase realtime database;microsoft sql server;mongodb;mysql;postgresql;redis;sqlite","amazon web services (aws);cloudflare;digital ocean;firebase;google cloud;heroku;managed hosting;microsoft azure;vercel;vultr","django;express;flask;jquery;next.js;node.js;react;svelte","advertising services","bing ai;chatgpt;google bard ai","rubber duck.ai;tabnine","employed, full-time"
"umhlanga campus","computer science","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","assembly;c;c++;cobol","","","","oil & gas","chatgpt","aws codewhisperer;replit ghostwriter","student, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, mobile","professional degree (jd, md, ph.d, ed.d, etc.)","swift","","","","information services, it, software development, or other technology","chatgpt","aws codewhisperer;github copilot;replit ghostwriter","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","data scientist or machine learning specialist","bachelor’s degree (b.a., b.s., b.eng., etc.)","python;r;sas","","google cloud;hetzner","node.js;svelte","manufacturing, transportation, or supply chain","bing ai;google bard ai","aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","engineer, data","professional degree (jd, md, ph.d, ed.d, etc.)","c#;python;sql","microsoft sql server","microsoft azure","","other","chatgpt","aws codewhisperer;whispr ai","employed, full-time"
"nelson mandela bay campus","computer science","i am learning to code","","primary/elementary school","html/css;javascript;python","","firebase;google cloud;vercel","next.js;node.js;react","retail and consumer services","chatgpt;wolframalpha","adrenaline;github copilot;tabnine","student, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;powershell;sql","dynamodb;microsoft sql server","amazon web services (aws)","blazor;vue.js","advertising services","bing ai;chatgpt","aws codewhisperer;codeium;github copilot","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","assembly;bash/shell (all shells);c#;haskell;python","postgresql;sqlite","amazon web services (aws);microsoft azure","","insurance","chatgpt","adrenaline;aws codewhisperer;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","go;java;javascript;python;sql","cosmos db;elasticsearch;postgresql;redis","amazon web services (aws);microsoft azure;vultr","angular;react;spring boot","other","bing ai;chatgpt;perplexity ai","adrenaline;mintlify;rubber duck.ai","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, embedded applications or devices","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c;c++;lua;python","","","flask","retail and consumer services","chatgpt","aws codewhisperer;codeium;github copilot;tabnine","employed, full-time;student, part-time"
